issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
3781757857,GGI-A-37,open,Open source enabling digital transformation,"Decision Maker,Not Selected,Strategy Goal",2026-01-05 14:46:11+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/101,0,0
3781757740,GGI-A-36,open,Open source enabling innovation,"Decision Maker,Not Selected,Strategy Goal",2026-01-05 14:46:09+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/100,0,0
3781757611,GGI-A-35,open,Open source and digital sovereignty,"Decision Maker,Not Selected,Strategy Goal",2026-01-05 14:46:06+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/99,0,0
3781757498,GGI-A-34,open,C-Level awareness,"Decision Maker,Not Selected,Strategy Goal",2026-01-05 14:46:04+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/98,0,0
3781757367,GGI-A-16,open,Setup a strategy for corporate open source governance,"Decision Maker,Not Selected,Strategy Goal",2026-01-05 14:46:02+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/97,0,0
3781757235,GGI-A-43,open,Open source procurement policy,"Decision Maker,Not Selected,Engagement Goal",2026-01-05 14:45:59+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/96,0,0
3781757114,GGI-A-33,open,Engage with open source vendors,"Decision Maker,Not Selected,Engagement Goal",2026-01-05 14:45:57+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/95,0,0
3781757012,GGI-A-31,open,Publicly assert use of open source,"Team Leader,Decision Maker,Not Selected,Engagement Goal",2026-01-05 14:45:54+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/94,0,0
3781756914,GGI-A-30,open,Support open source communities,"Decision Maker,Not Selected,Engagement Goal",2026-01-05 14:45:52+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/93,0,0
3781756800,GGI-A-29,open,Engage with open source projects,"Developer,Decision Maker,Not Selected,Engagement Goal",2026-01-05 14:45:50+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/92,0,0
3781756699,GGI-A-39,open,Upstream first,"Developer,Team Leader,Not Selected,Culture Goal",2026-01-05 14:45:47+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/91,0,0
3781756576,GGI-A-28,open,Human Resources perspective,"Decision Maker,Not Selected,Culture Goal",2026-01-05 14:45:45+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/90,0,0
3781756454,GGI-A-27,open,Belong to the open source community,"Team Leader,Decision Maker,Not Selected,Culture Goal",2026-01-05 14:45:42+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/89,0,0
3781756220,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2026-01-05 14:45:40+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/88,0,0
3781756115,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2026-01-05 14:45:38+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/87,0,0
3781755985,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2026-01-05 14:45:35+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/86,0,0
3781755862,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2026-01-05 14:45:33+00:00,https://api.github.com/repos/ospo-alliance/my-ggi-board/issues/85,0,0
