time,issue_id,event_id,type,author,action,url
2026-01-05 14:46:13+00:00,101,21855694696,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/101
2026-01-05 14:46:13+00:00,101,21855694748,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/101
2026-01-05 14:46:13+00:00,101,21855694818,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/101
2026-01-05 14:46:10+00:00,100,21855693788,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/100
2026-01-05 14:46:10+00:00,100,21855693836,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/100
2026-01-05 14:46:10+00:00,100,21855693892,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/100
2026-01-05 14:46:07+00:00,99,21855692863,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/99
2026-01-05 14:46:07+00:00,99,21855692915,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/99
2026-01-05 14:46:07+00:00,99,21855692969,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/99
2026-01-05 14:46:06+00:00,98,21855692314,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/98
2026-01-05 14:46:06+00:00,98,21855692397,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/98
2026-01-05 14:46:06+00:00,98,21855692441,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/98
2026-01-05 14:46:03+00:00,97,21855691467,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/97
2026-01-05 14:46:03+00:00,97,21855691519,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/97
2026-01-05 14:46:03+00:00,97,21855691566,label,Sebastienlejeune,labeled Strategy Goal,https://github.com/ospo-alliance/my-ggi-board/issues/97
